audit_id,audit_type,record_url,record_name,decision,classification,score,reasons,created_at
dst_calibration_audit_47fcb75a714a2ab780af,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/parliament-matters,Parliament Matters,OFFLINE_CLOSE,SUPPORTING_INFORMATION,20,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_7eac06e3285c6770b9b4,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/right-information,Right To Information,OFFLINE_CLOSE,SUPPORTING_INFORMATION,20,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_cc486b27dce1fe668ed1,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/photo-gallery,View All,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_e548c1a4d7bcdb507397,UNRESOLVED_TARGET_CALIBRATION,"https://dst.gov.in/sites/default/files/Nomination%20Proforma%20%28New%29.pdf""",Nomination Proforma (New),OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_7128a088d0b6cd5f1aea,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/seed-home,SEED,OFFLINE_CLOSE,CATEGORY_OR_INDEX_PAGE,58,KNOWN_DST_CATEGORY_URL,2026-07-10T11:48:28+00:00
dst_calibration_audit_45a6a999d4b3ceda9f8b,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/objectives-mandate,Objectives,OFFLINE_CLOSE,SUPPORTING_INFORMATION,33,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_d744bd1399abbca6fbaf,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/brief-history,Brief-history,OFFLINE_CLOSE,SUPPORTING_INFORMATION,33,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_1ef376c1e9d37b54f2ad,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/stakeholders-target-groups,Stakeholders-target-groups,OFFLINE_CLOSE,SUPPORTING_INFORMATION,33,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_8880c13a162666a04545,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/monitoring-and-evaluation,Monitoring & Evaluation,OFFLINE_CLOSE,SUPPORTING_INFORMATION,33,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_f5ba87f5b60af220cc64,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/highlights-achievements,Highlights & Achievements,OFFLINE_CLOSE,SUPPORTING_INFORMATION,33,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_fb3528676ee9148e9e4a,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/foldscope-microscopy-empowering-farmers-chhattisgarh-detect-plant-diseases-take-st-aided-1,https://dst.gov.in/foldscope-microscopy-empowering-farmers-chhattisgarh-...,MANUAL_ENTITY_REVIEW,MANUAL_ENTITY_REVIEW,28,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8,2026-07-10T11:48:28+00:00
dst_calibration_audit_3786d113b796fd07db37,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/herbal-remedy-gout-can-improve-lifestyle-elderly-people,https://dst.gov.in/herbal-remedy-gout-can-improve-lifestyle-elderly-people,MANUAL_ENTITY_REVIEW,MANUAL_ENTITY_REVIEW,28,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8,2026-07-10T11:48:28+00:00
dst_calibration_audit_f33e4fa07003daa6bc24,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/success-stories-dst,https://dst.gov.in/success-stories-dst,MANUAL_ENTITY_REVIEW,MANUAL_ENTITY_REVIEW,28,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8,2026-07-10T11:48:28+00:00
dst_calibration_audit_5c2c605667c9be478543,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/about-ngcma,About NGCMA,OFFLINE_CLOSE,SUPPORTING_INFORMATION,33,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_82e1b2b944435fc00379,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/oecd-principles-glp,OECD Principles of GLP,OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,33,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_a43296e994353a37a757,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/glp-certified-test-facilities,GLP Certified Test Facilities,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,33,INSTITUTION_OR_STATUTORY_BODY_PATTERN,2026-07-10T11:48:28+00:00
