review_id,review_type,provisional_entity_id,proposed_name,proposed_entity_type,confidence,review_flags,evidence,source_url,recommended_action
dst_gap_final_review_d09b5cb4a3d26d7b4681,GAP_UNRESOLVED_OFFLINE,,International Bi-lateral Institutions,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/international-bi-lateral-institutions,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_22635a45ad926d99bc5f,GAP_UNRESOLVED_OFFLINE,,Science Wings Abroad,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/science-wings-abroad-0,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_43caec1c8750e7caee28,GAP_UNRESOLVED_OFFLINE,,Anusandhan National Research Foundation (ANRF),UNRESOLVED,0.5300,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,RELEVANCE_SCORE_PASSED,https://dst.gov.in/anusandhan-national-research-foundation-anrf,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_db4cadccf9e23cd9c3ff,GAP_UNRESOLVED_OFFLINE,,Pension Grievance Redressal,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/pension-grievance-redressal,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_4e6c01d5127649d7cc6f,GAP_UNRESOLVED_OFFLINE,,Public Grievances,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/public-grievance,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_5789643b49c39f5cb1e8,GAP_UNRESOLVED_OFFLINE,,Parliament Q & A,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/parliament-qa-0,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_47fcb75a714a2ab780af,GAP_UNRESOLVED_OFFLINE,,Parliament Matters,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/parliament-matters,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_7eac06e3285c6770b9b4,GAP_UNRESOLVED_OFFLINE,,Right To Information,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/right-information,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_cc486b27dce1fe668ed1,GAP_UNRESOLVED_OFFLINE,,View All,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/photo-gallery,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_e548c1a4d7bcdb507397,GAP_UNRESOLVED_OFFLINE,,Nomination Proforma (New),UNRESOLVED,0.4700,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,SCHEME_PROGRAMME_CATEGORY_SOURCE,"https://dst.gov.in/sites/default/files/Nomination%20Proforma%20%28New%29.pdf""",MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_7128a088d0b6cd5f1aea,GAP_UNRESOLVED_OFFLINE,,SEED,UNRESOLVED,0.4700,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,SCHEME_PROGRAMME_CATEGORY_SOURCE,https://dst.gov.in/seed-home,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
